id,truth,activity,api
2071,1,call reverseTransition ( ) .,reverseTransition ( )
4313,1,call the ContextCompat.checkSelfPermission ( ) method .,ContextCompat.checkSelfPermission ( )
4679,1,query whether a feature is available by calling hasSystemFeature ( ) like this :,hasSystemFeature ( )
5029,1,confirm itslocation by using View.getLocationInWindow ( ) .,View.getLocationInWindow ( )
6214,1,add other actions by passing a PendingIntent to the addAction ( ) method .,addAction ( )
6694,1,issue the notification using the notify ( ) method .,notify ( )
7400,1,use the WearableRecyclerView 's setCircularScrollingGestureEnabled ( ) method .,setCircularScrollingGestureEnabled ( )
7546,1,call getController ( ) for access to peekDrawer ( ),getController ( )
7566,1,implement the onKeyDown ( ) method .,onKeyDown ( )
7933,1,call setUrgent ( ) .,setUrgent ( )
8006,1,call the Node.isNearby ( ) method .,Node.isNearby ( )
8097,1,implement onDataChanged ( ),onDataChanged ( )
8288,1,call the invalidate ( ) method throughout your implementation when you want the system to redraw the watch face .,invalidate ( )
8289,1,use the invalidate ( ) method,invalidate ( )
8290,1,call the postInvalidate ( ) method .,postInvalidate ( )
8613,1,call the ComplicationDrawable.setBurnInProtection ( ) method when the device properties are received .,ComplicationDrawable.setBurnInProtection ( )
8761,1,override the onApplyWindowInsets ( ) method,onApplyWindowInsets ( )
8768,1,use the WatchFaceService.Engine.getPeekCardPosition ( ) method .,WatchFaceService.Engine.getPeekCardPosition ( )
8773,1,use the setHotwordIndicatorGravity ( ) method .,setHotwordIndicatorGravity ( )
8966,1,use the shouldShowRequestPermissionRationale ( ) method to help your app decide whether to provide more information .,shouldShowRequestPermissionRationale ( )
9519,1,implement an onCreateViewHolder ( ) callback that creates a view holder that can be used to display a content item .,onCreateViewHolder ( )
9568,1,use setAdapter ( ) to add a related videos row .,setAdapter ( )
9640,1,override onCreateGuidance ( ),onCreateGuidance ( )
9641,1,add your GuidedStepFragment subclass to your desired activity by calling GuidedStepFragment.add ( ),GuidedStepFragment.add ( )
9653,1,add an editable text action by setting editable ( true ) .,editable ( true )
9690,1,use popBackStackToGuidedStepFragment ( ) to return to a specific GuidedStepFragment,popBackStackToGuidedStepFragment ( )
9761,1,override onCreateLogoAnimation ( ),onCreateLogoAnimation ( )
9791,1,call requestVisibleBehind ( ) .,requestVisibleBehind ( )
10065,1,build the URI using Uri.withAppendedPath ( ) :,Uri.withAppendedPath ( )
10492,1,create the URIusing toUri ( int ),toUri ( int )
10532,1,call TvInputService.Session.notifyVideoAvailable ( ) to allow the video to display,TvInputService.Session.notifyVideoAvailable ( )
10538,1,notify the system TV app by calling the TvInputService.Session method notifyContentAllowed ( ) or notifyContentBlocked ( ),notifyContentAllowed ( )
11109,1,set an override icon or color for the CarExtender by calling setLargeIcon ( ) or setColor ( ) .,setLargeIcon ( )
11450,2,select API 27 : Android 8.1 ( Oreo ) .,8.1 ( Oreo )
11849,1,call initiatePairing ( ),initiatePairing ( )
11895,1,call the join ( ) method of class LowpanInterface,join ( )
11961,1,use the setChannel ( ) method to subscribe your device to a different update channel,setChannel ( )
12020,1,return true from within onGpioEdge ( ) to indicate that the listener should continue receiving events for each port state change .,onGpioEdge ( )
12115,2,master Out Slave In ( MOSI ),In ( MOSI )
12454,1,override the read ( ) method .,read ( )
12458,1,override the setEnabled ( ) method of your driver implementation to activate them .,setEnabled ( )
13851,1,add them to the view you have set as Activity.setContentView ( ) .,Activity.setContentView ( )
14688,1,use the onPause ( ) method to pause operations that should not continue (,onPause ( )
15207,1,add a fragment using the add ( ) method,add ( )
15277,1,preserve the UI state of a fragment across configuration changes and process death using a combination of onSaveInstanceState ( Bundle ),onSaveInstanceState ( Bundle )
15571,1,call getSupportFragmentManager ( ) to get a FragmentManager using the Support Library APIs .,getSupportFragmentManager ( )
15572,1,call add ( ) to add a fragment .,add ( )
15768,1,call setResult ( ) to specify the result code and result Intent .,setResult ( )
15777,1,call setResult ( ) and pass only a result code .,setResult ( )
16279,1,call Activity.enterPictureInPictureMode ( ) .,Activity.enterPictureInPictureMode ( )
