id,truth,code
1_2_5_0_0_2_0_0,1,>@>import android.content.Intent>@>import android.support.v7.app.AppCompatActivity>@>import android.os.Bundle>@>import android.view.View>@>import android.widget.EditText>@>
1_4_0_0_0_3_2_2,1,">@><?xml version=""1.0"" encoding=""utf-8""?>>@><EditText xmlns:android=""http://schemas.android.com/apk/res/android"">@>    android:layout_width=""fill_parent"">@>    android:layout_height=""fill_parent"">@>    android:textColor="""
1_4_0_0_0_3_2_3,2,">@><EditText id=""text"">@>    android:layout_width=""fill_parent"">@>    android:layout_height=""wrap_content"">@>    android:textColor="""
1_4_3_0_0_3_0_3,1,"<!-- The action for submitting a form. This text is on a button that can fit 30 chars -->>@><string name=""login_submit_button"">Sign in</string>>@>"
1_4_3_1_0_3_0_4,1,">@><string name=""countdown"">>@>  <xliff:g id=""time"" example=""5 days"">%1$s</xliff:g>until holiday>@></string>>@>"
1_4_5_3_0_0_0_0,1,">@><?xml version=""1.0"" encoding=""utf-8""?>>@><selector xmlns:android=""http://schemas.android.com/apk/res/android"">>@>    <item android:state_pressed=""true"">@>          android:color=""#ffff0000""/> <!-- pressed -->>@>    <item android:state_focused=""true"">@>          android:color=""#ff0000ff""/> <!-- focused -->>@>    <item android:color=""#ff000000""/> <!-- default -->>@></selector>>@>"
1_37_7_0_0_5_1_0,2,>@>Resources res = 
1_9_4_2_8_1_1_0,1,>@>val imageview: ImageView = findViewById(R.id.image)>@>val drawable: Drawable = imageview.background>@>if (drawable is ClipDrawable) {>@>    drawable.level = drawable.level + 1000>@>}>@>
1_4_5_5_0_0_0_0,1,">@><?xml version=""1.0"" encoding=""utf-8""?>>@><"
1_5_0_0_0_1_2_0,1,"<manifest ... >>@>    <application ... >>@>        <activity android:name=""com.example.myapp.MainActivity"" ... >>@>        </activity>>@>    </application>>@></manifest>"
1_5_1_0_0_1_3_0,1,">@><manifest ... >>@>    <uses-permission android:name=""android.permission.SEND_SMS""/>>@>    ...>@></manifest>>@>"
