id,truth,condition
78,1,if you do n't have that version installed
804,1,if you use a new resource qualifier
1213,0,if you do
1217,1,if all you require is the ability to read raw data -LRB- such as a video or audio file -RRB-
1225,1,if your app supports several languages
1231,1,if you do n't provide default resources
1255,0,if Yes
1453,1,if your apps later replace the placeholder value
1524,1,if the test is successful
1716,1,if you have a device attached
1725,1,if the app has French strings in res/values-fr / but does not have any Spanish strings in res/values-es /
1731,1,if the test is successful
1849,1,if you have resource strings in a directory named values-en-rGB
2002,1,if you plan on reading an image as a bit stream in order to convert it to a bitmap
2265,1,if you are n't applying formatting
2446,1,if you decide to make your code 's namespace -LRB- and thus
2490,1,if your app can not achieve basic functionality on a device without a compass sensor
3506,1,if it is not already in your PATH.If you are using SDK Tools r8 or higher
3642,1,if you want to disable filtering for a particular feature
4132,1,if you have the package name of another app
4477,1,if you 're only using coarse location
4478,1,if you need access to SMS messages to receive authentication codes that protect the user from fraud
4590,0,if necessary
4667,0,if necessary
5440,0,if necessary .
5623,1,if you 're converting an existing application to use multiple APK support
5641,1,if you were to use PowerVR 99 % of the time
5718,0,if necessary .
5725,0,if possible
6463,1,if an existing watch already is paired
6476,1,if your watch lacks a USB port
6491,1,if your app depends on a phone app
6531,1,if you do n't see the new module 's folder
6573,1,if you need to show persistent content on versions prior to Android 5.1
6641,1,if your phone app is n't installed on the phone
6966,1,if the APKs are not equivalent
6979,1,if you want to target both SDK version 23 and version 25
6979,1,if an existing Wear 1.x app has a minimum SDK version of 23 :
7017,1,if a watch app is completely independent or semi-independent
7071,1,if you use another build process
7142,1,if you develop on macOS -LRB- r -RRB-
7368,1,if you require more control than what is possible declaratively using XML
7400,1,if you want to enable a circular scrolling gesture in your child view
7549,1,if you prefer to display just the overflow icon -LRB- three vertical dots -RRB- without the first action
7917,1,if a delay in syncing would negatively impact user experience
8246,1,if the device has a lower resolution than your image .
8370,1,if the user selects a white background
8390,1,if you choose to allow the unread notification indicator to be displayed on your watch face
8596,0,if possible
9030,1,if you prefer to learn through interactive video training
9188,1,if you are extending an existing app for use on TV
9219,1,if you have an app that takes
9282,1,if motion detection is not supported
9351,0,if necessary .
9401,1,if you decide you want users to move through your layouts in a specific way
9502,1,if you are planning on updating the background in response to users scrolling through items
9642,1,if your activity contains only GuidedStepFragment objects
9719,1,if you need to present a multi-page UI that requires user input
9759,1,if you want to display a Drawable as your logo screen
9761,1,if you want to provide a custom animation for your logo screen
10035,1,if you stich ads on the server side
10043,1,if you create a preview using any of the video types supported by ExoPlayer and the preview is publicly accessible
10065,1,if your identifier is not type Long
10383,1,if you need to do any special channel initialization before the program starts playing .
10535,1,if a given content is blocked by parental controls and content rating
10577,1,if your content is already stored in the cloud and your app can manage time-shifting recordings in the cloud
10588,1,if your TV input service can not support time-shifting at all
10716,1,if you prefer to learn through interactive video training
10763,1,if your application uses multiple car capabilities
10876,1,if the caller ca n't be verified to be an approved package
11596,1,if you prefer to manually flash your board
