id,truth,goal,sentence
38909,1,to identify this service to the system,"  To identify this service to the system , declare it in your app manifest by adding the following <service> element as a child element of <application> :"
45961,1,to learn more about the measure & layout phases of the rendering pipeline,"  To learn more about the measure & layout phases of the rendering pipeline , check out the Invalidations , Layouts and Performance video"
19947,1,to have the user select a specific piece of information from a contact,"  To have the user select a specific piece of information from a contact , such as a phone number , email address , or other data type , use the ACTION_PICK action and specify the MIME type to one of the content types listed below , such as CommonDataKinds.Phone.CONTENT _ TYPE to get the contact 's phone number ."
55458,2,to get started,"  To get started , you need to set up a proper runtime environment on which you can run , debug , and test your application 's implementation of license checking and enforcement ."
30338,1,to release the wake lock,"  To release the wake lock , call wakelock.release -LRB- -RRB- ."
20008,1,to open a map,"  To open a map , use the ACTION_VIEW action and specify the location information in the intent data with one of the schemes defined below ."
30848,1,to use this functionality,"  To use this functionality , add the android.arch.persistence.room : rxjava2 artifact from the Room group into your build Gradle dependencies ."
29113,1,to try out the concepts in this guide,"  To try out the concepts in this guide , download ThreadSample ."
39055,1,to run your sync adapter at roughly the same time every day,"  To run your sync adapter at roughly the same time every day , use a repeating alarm as a trigger ."
16925,1,to create a preview image,"  To create a preview image , launch this application , select the app widget for your application and set it up how you 'd like your preview image to appear , then save it and place it in your application 's drawable resources ."
18431,1,to learn more about the Paging Library,"  To learn more about the Paging Library , see the following guides and videos :"
25428,1,to paste a data stream,"  To paste a data stream , an application gets the clip from the clipboard , gets the URI , and uses it in a call to a ContentResolver file descriptor method that opens the stream ."
5906,1,to use the framework 's RTL alignment capabilities,"  To use the framework 's RTL alignment capabilities , change the attributes in your layout files that appear in Table 1 ."
39161,1,to get the BluetoothAdapter,"  To get the BluetoothAdapter , call the static getDefaultAdapter -LRB- -RRB- method ."
45068,1,to build a Slice,"  To build a Slice , open your Android Studio project , right-click your src package , and select New ... > Other > Slice Provider ."
15401,1,to make fragment transactions in your activity -LRB- such as add,"  To make fragment transactions in your activity -LRB- such as add , remove , or replace afragment -RRB- , you must use APIs from FragmentTransaction ."
22242,1,to create a borderless button,"  To create a borderless button , apply the borderlessButtonStyle style to the button ."
40956,1,to display the dialog that asks users for permission to connect to the device,"  To display the dialog that asks users for permission to connect to the device , call the requestPermission -LRB- -RRB- method :"
42522,1,to update values shared between multiple threads,"  To update values shared between multiple threads , use the functions below ."
17067,1,to test whether your app has permission to add the widget,"  To test whether your app has permission to add the widget , you use the bindAppWidgetIdIfAllowed -LRB- -RRB- method ."
44840,2,to get started,"  To get started , learn how to convert an existing game to an instant app ."
20479,1,to select a different sizing mode,"  To select a different sizing mode , click a view and open the Attributes window on the right side of the editor ."
