id,truth,location,sentence
13157,1,at 1600 Amphitheatre Parkway,"  Under the Terms , `` Google '' means Google LLC , with offices at 1600 Amphitheatre Parkway , Mountain View , California 94043 , United States , unless set forth otherwise in additional terms applicable for a given API ."
28022,0,at all,"  Using MediaBrowserService makes it easy for companion devices -LRB- like Android Auto and Wear -RRB- to discover your app , connect to it , browse for content , and control playback , without accessing your UI activity at all ."
40598,0,at any time by calling updateSubscribe -LRB- -RRB- on the discovery session,  You can update the subscribe session at any time by calling updateSubscribe -LRB- -RRB- on the discovery session .
246,1,at app > manifests > AndroidManifest.xml,"  So open the file at app > manifests > AndroidManifest.xml , locate the <activity> tag for DisplayMessageActivity and replace it with the following :"
48009,1,at Power management restrictions,  See full details of the device-specific power optimizations at Power management restrictions .
9210,4,at runtime,  Use the hasSystemFeature -LRB- String -RRB- method to check for specific features at runtime .
30387,4,at somerandom period of time,"  At the same time , schedule the alarm that contains the network requests to fire at somerandom period of time ."
42172,1,at the Android framework level or set them directly in the RenderScript code,  You can use the accessor methods at the Android framework level or set them directly in the RenderScript code .
45838,1,at the beginning of your test class definition,"  To create an integration test for your service , add the @RunWith -LRB- AndroidJUnit4.class -RRB- annotation at the beginning of your test class definition ."
19929,3,at the location specified by that extra and call setResult -LRB- -RRB- with an Intent that includes a compressed thumbnail in an extra named `` data '',"  When handling this intent , your activity should check for the EXTRA_OUTPUT extra in the incoming Intent , then save the captured image or video at the location specified by that extra and call setResult -LRB- -RRB- with an Intent that includes a compressed thumbnail in an extra named `` data '' ."
46323,1,at the testClickOnItem50 -LRB- -RRB- method within the AdapterViewTest class and this custom LongListMatchers matcher,"  For the full code of this test , take a look at the testClickOnItem50 -LRB- -RRB- method within the AdapterViewTest class and this custom LongListMatchers matcher ."
48809,1,at the top of a class,  Consider the following declaration at the top of a class :
46,1,at the top of that window,"  First , be sure the Project window is open -LRB- select View > Tool Windows > Project -RRB- and the Android view is selected from the drop-down list at the top of that window ."
19947,1,from a contact,"  To have the user select a specific piece of information from a contact , such as a phone number , email address , or other data type , use the ACTION_PICK action and specify the MIME type to one of the content types listed below , such as CommonDataKinds.Phone.CONTENT _ TYPE to get the contact 's phone number ."
30917,1,from a database to the respective object model is a common practice and works very well on the server side,  Mapping relationships from a database to the respective object model is a common practice and works very well on the server side .
9339,0,from a distance,  Follow these tips to make your user interface elements easier to see from a distance :
43758,1,from a feature module to the APK module,"  Because you must always declare your application ID in the Gradle module that declares com.android.application , move the applicationID line from a feature module to the APK module ."
24813,1,from a file,"  Install the SDK Samples package for API Level 4 to see the original version of the Searchable Dictionary , which creates a custom adapter to read data from a file ."
22895,1,from a notification does n't need a back stack,"  Because a `` special activity '' started from a notification does n't need a back stack , you can create the PendingIntent by calling getActivity -LRB- -RRB- , but you should also be sure you 've defined the appropriate task options in the manifest ."
36344,1,from above,  You can combine the adjustment specification with the initial input method visibility specification from above :
48951,1,from above,"  In order to determine whether two threads simultaneously access the same memory location , we can ignore the memory-reordering discussion from above , and assume sequential consistency ."
5634,0,from APK to APK,"  Having a starting activity defined in the library project gives you a chance to put all your application initialization in one place , so that each individual APK does n't have to re-implement `` universal '' tasks like initializing Analytics , running licensing checks , and any other initialization procedures that do n't change much from APK to APK ."
43247,0,from being available to users on demand,"  Keep in mind , this type of modularization requires more effort and possibly refactoring your app 's existing code , so consider carefully which of your app 's features would benefit the most from being available to users on demand ."
46867,1,from com.android.support.test : testing-support-lib :0.1 to com.android.support.test : runner :0.2 and com.android.support.test : rules :0.2,  Test runner artifact split into two and the name changed from com.android.support.test : testing-support-lib :0.1 to com.android.support.test : runner :0.2 and com.android.support.test : rules :0.2 .
19986,1,from DocumentsContract.Document,  You can open the file with openFileDescriptor -LRB- -RRB- and query its details using columns from DocumentsContract.Document .
36371,1,from each focusable element in your UI,"  From each focusable element in your UI , press Up , Down , Left , and Right ."
22408,1,from EditText,  Create a class that inherits from EditText .
12249,5,from false to true,  AGPIO_EDGE_RISING : Interrupt on a value transition from false to true
15205,1,from FragmentTransaction,"  To make fragment transactions in your activity -LRB- such as add , remove , or replace afragment -RRB- , you must use APIs from FragmentTransaction ."
36634,1,from its UI,  You can also provide access to the IME 's settings directly from its UI .
36759,1,from its UI,  You can also provide access to the IME 's settings directly from its UI .
46859,5,from JUnit v4 .10 to JUnit v4 .12,  Upgrade from JUnit v4 .10 to JUnit v4 .12
51907,1,from one profile to the other,  Configure which intents are allowed to cross from one profile to the other
